Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1,20,RL,75,19492,Grvl,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Kevinburgh,Artery,Feedr,2FmCon,1.5Fin,8,9,2017,1958,Flat,Tar&Grv,HdBoard,VinylSd,CBlock,427,Ex,Ex,BrkTil,TA,TA,Gd,ALQ,1086,GLQ,1091,573,457,GasA,Gd,Y,SBrkr,1193,632,77,800,0,1,1,0,4,1,Ex,6,Sev,2,Ex,Basment,1931,RFn,0,522,No,Gd,P,290,393,246,39,119,257,Gd,MnPrv,Shed,1171,1,2006,ConLw,Abnorml
2,60,RL,41,18032,Pave,Pave,IR2,Lvl,AllPub,Corner,Sev,Davidside,Norm,Norm,2FmCon,1Story,9,9,1904,2015,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,315,Gd,Ex,BrkTil,Fa,No,Gd,LwQ,1332,GLQ,520,652,1788,GasW,TA,N,FuseP,1300,894,153,3702,2,1,0,1,4,1,TA,3,Min2,2,TA,Detchd,2000,RFn,3,992,Fa,No,P,419,146,312,196,116,331,TA,MnWw,Othr,3910,12,2018,New,Family
3,60,RM,87,5795,Pave,Grvl,Reg,Lvl,AllPub,CulDSac,Sev,Kendramouth,Norm,Feedr,1Fam,1.5Fin,7,9,1922,1949,Gable,Metal,HdBoard,BrkFace,CBlock,198,TA,Gd,BrkTil,TA,No,Av,BLQ,1237,Unf,238,440,736,Grav,Ex,N,FuseP,1576,1463,109,2662,0,0,1,1,1,1,Fa,4,Mod,0,TA,CarPort,1950,Unf,1,479,No,TA,P,87,288,119,42,112,755,Fa,MnPrv,Shed,4155,2,2007,Con,Partial
4,40,RH,53,17170,Pave,Grvl,IR2,Bnk,AllPub,Inside,Gtl,Mccoychester,PosN,Artery,Twnhs,2Story,2,5,1983,2014,Gable,Tar&Grv,VinylSd,VinylSd,BrkFace,192,Ex,TA,BrkTil,Gd,Gd,Av,Unf,1168,No,775,800,1580,Grav,TA,Y,SBrkr,1680,1330,183,3241,1,0,0,0,2,1,Gd,10,Min2,2,Gd,Basment,1937,Unf,2,471,No,No,P,329,341,432,60,130,20,nan,GdPrv,Gar2,2486,6,2020,WD,Abnorml
5,120,RH,73,6639,Grvl,nan,IR3,HLS,AllPub,CulDSac,Gtl,Katelynshire,Feedr,PosN,Duplex,1.5Fin,1,4,1912,1953,Hip,Metal,CemntBd,CemntBd,None,349,Gd,Fa,PConc,Ex,Fa,Av,Unf,879,GLQ,844,1396,441,GasA,TA,Y,FuseF,793,1273,53,3168,1,0,3,1,1,1,Gd,10,Maj2,0,Gd,Attchd,1966,Unf,0,265,No,TA,N,4,156,484,117,171,543,Ex,GdWo,nan,1396,2,2016,COD,Abnorml
6,160,FV,39,17009,Pave,nan,IR2,HLS,AllPub,Inside,Gtl,Pattersonview,Norm,Artery,TwnhsE,1.5Fin,2,6,2020,1976,Gable,Tar&Grv,CemntBd,HdBoard,Stone,328,TA,Ex,Slab,Fa,Gd,Av,GLQ,1232,GLQ,462,136,534,Wall,Ex,Y,FuseP,875,1173,94,2210,1,1,2,0,1,1,Ex,8,Sal,1,Ex,CarPort,1911,RFn,2,601,TA,TA,Y,140,292,359,40,123,188,Fa,GdWo,Othr,3028,5,2006,WD,Partial
7,60,FV,41,17540,Grvl,nan,IR1,Low,AllPub,Corner,Gtl,Lake Chad,Feedr,Feedr,Duplex,1.5Fin,3,4,1906,1901,Hip,CompShg,HdBoard,MetalSd,CBlock,93,Fa,TA,BrkTil,Gd,No,No,Unf,1137,GLQ,29,993,922,GasA,Ex,N,FuseP,417,1053,50,2516,1,0,0,1,3,1,TA,11,Sal,0,TA,2Types,1959,Fin,0,242,No,Ex,N,61,239,304,32,107,431,Gd,GdWo,Gar2,3064,6,2016,New,Normal
8,160,RM,97,12502,Pave,Grvl,Reg,Lvl,AllPub,CulDSac,Mod,Lindamouth,PosN,PosN,TwnhsE,SLvl,8,8,1974,1993,Flat,Metal,BrkFace,VinylSd,Stone,297,TA,Fa,BrkTil,Fa,Ex,Gd,Rec,502,GLQ,705,596,2238,Wall,TA,N,SBrkr,1605,600,146,1716,2,0,0,0,3,1,TA,5,Min1,0,Gd,CarPort,2019,RFn,3,159,No,Ex,P,334,18,214,4,61,682,Gd,GdWo,Gar2,2424,8,2015,Con,Partial
9,160,FV,41,17030,Pave,nan,IR2,Bnk,AllPub,Inside,Sev,Colleenmouth,PosN,Norm,1Fam,1.5Fin,8,7,2020,1934,Gable,Tar&Grv,MetalSd,CemntBd,Stone,234,Ex,Fa,Slab,No,No,Gd,BLQ,1416,Unf,718,1360,2068,GasW,Fa,Y,FuseF,1896,285,99,3845,0,1,1,1,3,1,Gd,9,Maj2,2,Fa,Attchd,1938,Unf,3,923,Fa,Gd,P,277,309,91,191,126,795,Gd,MnWw,nan,4255,2,2009,WD,Partial
10,20,RM,69,7335,Pave,Grvl,IR3,Bnk,AllPub,Corner,Gtl,Gibsonborough,Feedr,Artery,Duplex,2Story,5,6,1903,1987,Flat,CompShg,BrkFace,CemntBd,BrkFace,25,Ex,Gd,CBlock,Gd,Gd,Av,ALQ,1356,ALQ,1268,1116,1448,GasW,Fa,N,FuseF,746,224,111,2713,0,0,0,1,3,1,Gd,7,Maj1,1,Gd,Attchd,1953,Fin,0,879,Ex,Gd,Y,60,390,455,108,19,65,Gd,MnWw,Gar2,4475,1,2015,WD,AdjLand
